time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20100101:0010,0,0,0,0,0,-0.75,3.52,0
20100101:0110,0,0,0,0,0,-0.76,3.72,0
20100101:0210,0,0,0,0,0,-0.82,3.72,0
20100101:0310,0,0,0,0,0,-0.87,3.86,0
20100101:0410,0,0,0,0,0,-0.91,4,0
20100101:0510,0,0,0,0,0,-0.94,3.72,0
20100101:0610,0,0,0,0,0,-1,4,0
20100101:0710,0,0,0,0,0,-0.85,4.14,0
20100101:0810,20.56,9.22,10.97,0.11,2.44,-0.97,4,0
20100101:0910,55.18,0,38.11,0.37,8.55,-0.86,3.72,0
20100101:1010,86.55,0,53.36,0.52,12.94,-0.45,4.55,0
20100101:1110,66.54,0,43.83,0.43,15.25,-0.04,4.62,0
20100101:1210,198.5,5.92,99.29,1.03,15.27,0.07,4.55,0
20100101:1310,170.38,5.55,88.64,0.97,13,0.27,4.48,0
20100101:1410,86.6,0,53.53,0.54,8.65,0.2,3.86,0
20100101:1510,5.48,0,10.15,0.1,2.56,-0.22,3.31,0
20100101:1610,0,0,0,0,0,-0.87,2.97,0
20100101:1710,0,0,0,0,0,-1.38,2.69,0
20100101:1810,0,0,0,0,0,-2.04,2.34,0
20100101:1910,0,0,0,0,0,-2.68,2.28,0
20100101:2010,0,0,0,0,0,-3.08,2,0
20100101:2110,0,0,0,0,0,-3.47,1.72,0
20100101:2210,0,0,0,0,0,-4.3,1.45,0
20100101:2310,0,0,0,0,0,-4.39,1.17,0
20100102:0010,0,0,0,0,0,-4.46,1.17,0
20100102:0110,0,0,0,0,0,-5,1.59,0
20100102:0210,0,0,0,0,0,-4.77,1.72,0
20100102:0310,0,0,0,0,0,-4.23,1.66,0
20100102:0410,0,0,0,0,0,-3.71,1.66,0
20100102:0510,0,0,0,0,0,-3.47,1.59,0
20100102:0610,0,0,0,0,0,-3.23,1.52,0
20100102:0710,0,0,0,0,0,-3.02,2.21,0
20100102:0810,60.19,27.47,14.12,0.15,2.47,-2.87,2.41,0
20100102:0910,337.16,89.13,77.34,0.87,8.59,-2.3,2.28,0
20100102:1010,218.09,20.47,92.8,0.98,13,-1.22,2.48,0
20100102:1110,226.35,12.3,105.17,1.11,15.33,-0.11,2.83,0
20100102:1210,70.01,0,45.74,0.45,15.36,1.1,3.79,0
20100102:1310,185.75,9.52,93.65,1.1,13.11,1.54,3.72,0
20100102:1410,95.73,0,58.14,0.59,8.77,1.52,3.17,0
20100102:1510,7.99,0,12,0.12,2.69,1.13,3.03,0
20100102:1610,0,0,0,0,0,0.68,2.83,0
20100102:1710,0,0,0,0,0,0.22,3.03,0
20100102:1810,0,0,0,0,0,0.02,3.31,0
20100102:1910,0,0,0,0,0,-0.14,3.72,0
20100102:2010,0,0,0,0,0,-0.19,3.59,0
20100102:2110,0,0,0,0,0,-0.25,3.52,0
20100102:2210,0,0,0,0,0,-0.38,3.45,0
20100102:2310,0,0,0,0,0,-0.45,3.31,0
20100103:0010,0,0,0,0,0,-0.39,2.97,0
20100103:0110,0,0,0,0,0,-0.36,2.41,0
