time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20100101:0011,0,0,0,0,0,-1.24,4.41,0
20100101:0111,0,0,0,0,0,-1.3,4.48,0
20100101:0211,0,0,0,0,0,-1.3,4.48,0
20100101:0311,0,0,0,0,0,-1.28,4.34,0
20100101:0411,0,0,0,0,0,-1.26,4.28,0
20100101:0511,0,0,0,0,0,-1.36,4.34,0
20100101:0611,0,0,0,0,0,-1.53,4.14,0
20100101:0711,0,0,0,0,0,-1.24,4.07,0
20100101:0811,0,0,1.77,0.05,2.54,-1.43,3.86,0
20100101:0911,522.83,151.39,88.64,2.1,8.4,-1.46,3.59,0
20100101:1011,65.77,0,42.54,1.09,12.52,-1.35,3.31,0
20100101:1111,99.89,0,58.49,1.49,14.58,-1.06,4.21,0
20100101:1211,127.79,3.2,67.89,1.74,14.38,-0.88,4.14,0
20100101:1311,238.8,34.93,84.41,2.17,11.95,-0.96,3.38,0
20100101:1411,128.07,22.83,48.55,1.22,7.5,-1.01,3.1,0
20100101:1511,0,0,0,0,0,-1.46,2.97,0
20100101:1611,0,0,0,0,0,-2.08,2.76,0
20100101:1711,0,0,0,0,0,-2.7,2.55,0
20100101:1811,0,0,0,0,0,-3.36,2.34,0
20100101:1911,0,0,0,0,0,-4.33,2.14,0
20100101:2011,0,0,0,0,0,-5.55,1.86,0
20100101:2111,0,0,0,0,0,-6.62,1.72,0
20100101:2211,0,0,0,0,0,-5.75,1.52,0
20100101:2311,0,0,0,0,0,-5.05,1.45,0
20100102:0011,0,0,0,0,0,-4.41,1.31,0
20100102:0111,0,0,0,0,0,-4.48,1.17,0
20100102:0211,0,0,0,0,0,-4.5,0.97,0
20100102:0311,0,0,0,0,0,-4.45,0.76,0
20100102:0411,0,0,0,0,0,-4.4,0.69,0
20100102:0511,0,0,0,0,0,-4.27,0.69,0
20100102:0611,0,0,0,0,0,-4.27,0.83,0
20100102:0711,0,0,0,0,0,-6.25,1.59,0
20100102:0811,206.66,87.89,17.91,0.48,2.57,-6.6,1.72,0
20100102:0911,139.55,22.14,52.7,1.33,8.44,-6.43,1.79,0
20100102:1011,74.82,0,46.08,1.18,12.58,-5.84,2.14,0
20100102:1111,94.88,0,55.83,1.43,14.66,-3.02,2.41,0
20100102:1211,290.16,38.22,102.87,2.67,14.47,-1.33,2.76,0
20100102:1311,297.05,52.05,92.4,2.38,12.06,-0.67,2.9,0
20100102:1411,17.53,0,17.72,0.45,7.62,-0.27,2.48,0
20100102:1511,0,0,0,0,0,-0.46,2.07,0
20100102:1611,0,0,0,0,0,-0.64,2.21,0
20100102:1711,0,0,0,0,0,-0.86,2.48,0
20100102:1811,0,0,0,0,0,-1.07,2.48,0
20100102:1911,0,0,0,0,0,-1.22,1.72,0
20100102:2011,0,0,0,0,0,-1.17,1.45,0
20100102:2111,0,0,0,0,0,-1.47,0.76,0
20100102:2211,0,0,0,0,0,-2.08,0.83,0
20100102:2311,0,0,0,0,0,-2.24,1.59,0
20100103:0011,0,0,0,0,0,-2.85,2.28,0
20100103:0111,0,0,0,0,0,-3.54,2.76,0
20100103:0211,0,0,0,0,0,-4.41,2.83,0
