time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20100101:0011,0,0,0,0,0,0,5.31,0
20100101:0111,0,0,0,0,0,-0.17,5.1,0
20100101:0211,0,0,0,0,0,-0.24,4.9,0
20100101:0311,0,0,0,0,0,-0.49,4.55,0
20100101:0411,0,0,0,0,0,-0.73,4.34,0
20100101:0511,0,0,0,0,0,-1.22,4.14,0
20100101:0611,0,0,0,0,0,-1.49,3.86,0
20100101:0711,0,0,0,0,0,-1.44,3.72,0
20100101:0811,0,0,0,0,0,-1.79,3.52,0
20100101:0911,671.58,222.71,82.8,2.81,7.46,-1.54,3.59,0
20100101:1011,322.28,63.81,90.35,3.08,11.52,-0.74,3.72,0
20100101:1111,883.57,247.75,146.06,5.04,13.56,-0.07,4.07,0
20100101:1211,799.9,215.35,142.22,4.72,13.41,0.16,4.14,0
20100101:1311,841.39,248.68,127.16,3.98,11.09,0.09,4.07,0
20100101:1411,644.33,207.1,84.49,2.23,6.79,-0.32,3.66,0
20100101:1511,0,0,0,0,0,-1.03,3.31,0
20100101:1611,0,0,0,0,0,-1.76,2.97,0
20100101:1711,0,0,0,0,0,-2.23,2.62,0
20100101:1811,0,0,0,0,0,-2.49,2.28,0
20100101:1911,0,0,0,0,0,-3.04,2.14,0
20100101:2011,0,0,0,0,0,-3.78,1.79,0
20100101:2111,0,0,0,0,0,-4.19,1.45,0
20100101:2211,0,0,0,0,0,-3.57,0.97,0
20100101:2311,0,0,0,0,0,-3.45,0.62,0
20100102:0011,0,0,0,0,0,-4.09,0.76,0
20100102:0111,0,0,0,0,0,-5.43,1.24,0
20100102:0211,0,0,0,0,0,-5.63,1.24,0
20100102:0311,0,0,0,0,0,-5.5,1.38,0
20100102:0411,0,0,0,0,0,-5.21,1.59,0
20100102:0511,0,0,0,0,0,-4.82,1.79,0
20100102:0611,0,0,0,0,0,-4.15,2,0
20100102:0711,0,0,0,0,0,-4,2.21,0
20100102:0811,0,0,0,0,0,-3.87,2.41,0
20100102:0911,21.48,0,19.61,0.67,7.5,-3.36,2.34,0
20100102:1011,106.24,3.53,56.95,1.96,11.58,-2.8,2.48,0
20100102:1111,76.21,0,46.9,1.61,13.64,-2.3,2.62,0
20100102:1211,94.66,0,55.43,1.9,13.51,-1.97,2.69,0
