time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20100101:0011,0,0,0,0,0,-0.22,5.31,0
20100101:0111,0,0,0,0,0,-0.18,5.31,0
20100101:0211,0,0,0,0,0,-0.35,5.24,0
20100101:0311,0,0,0,0,0,-0.35,5.31,0
20100101:0411,0,0,0,0,0,-0.5,5.1,0
20100101:0511,0,0,0,0,0,-0.71,4.69,0
20100101:0611,0,0,0,0,0,-0.94,4.41,0
20100101:0711,0,0,0,0,0,-0.94,4.48,0
20100101:0811,0,0,0,0,0,-1.37,4.21,0
20100101:0911,343.38,90.99,73.32,1.75,7.8,-1.13,3.93,0
20100101:1011,1239.31,431.4,123.16,4.21,12.26,-0.3,3.79,0
20100101:1111,1471.21,529.57,131.07,5.28,14.69,0.46,4.34,0
20100101:1211,1476.07,532.84,132.55,5.35,14.86,0.96,4.14,0
20100101:1311,1283.82,456.29,121.78,4.42,12.77,1.26,4,0
20100101:1411,996.34,363.56,87.82,2.8,8.6,1.11,3.38,0
20100101:1511,232.9,101.88,18.82,0.52,2.68,0.3,2.9,0
20100101:1611,0,0,0,0,0,-0.98,2.62,0
20100101:1711,0,0,0,0,0,-1.73,2.41,0
20100101:1811,0,0,0,0,0,-2.38,2.07,0
20100101:1911,0,0,0,0,0,-2.68,1.66,0
20100101:2011,0,0,0,0,0,-1.81,0.97,0
20100101:2111,0,0,0,0,0,-1.67,0.55,0
20100101:2211,0,0,0,0,0,-3.06,1.17,0
20100101:2311,0,0,0,0,0,-3.87,1.52,0
20100102:0011,0,0,0,0,0,-3.31,1.93,0
20100102:0111,0,0,0,0,0,-2.43,2.14,0
20100102:0211,0,0,0,0,0,-2.1,2.21,0
20100102:0311,0,0,0,0,0,-1.72,2.28,0
20100102:0411,0,0,0,0,0,-1.71,2.41,0
20100102:0511,0,0,0,0,0,-1.91,2.55,0
20100102:0611,0,0,0,0,0,-2.14,2.69,0
20100102:0711,0,0,0,0,0,-1.29,3.24,0
20100102:0811,0,0,0,0,0,-1.24,3.24,0
20100102:0911,769.64,257.9,90.48,2.32,7.84,-0.7,3.31,0
20100102:1011,72.52,0,46.04,1.18,12.32,0.47,3.24,0
20100102:1111,378.97,63.15,117.5,3.07,14.76,1.66,3.45,0
20100102:1211,210.2,15.69,92.8,2.41,14.95,2.52,4.21,0
20100102:1311,112.22,3.38,61.69,1.59,12.87,3.02,3.72,0
20100102:1411,44.84,0,32.76,0.84,8.71,2.76,3.17,0
20100102:1511,1.76,0,7.08,0.18,2.81,2.15,3.17,0
20100102:1611,0,0,0,0,0,1.4,2.9,0
20100102:1711,0,0,0,0,0,1.02,2.97,0
20100102:1811,0,0,0,0,0,0.84,2.97,0
20100102:1911,0,0,0,0,0,0.4,3.1,0
20100102:2011,0,0,0,0,0,0.37,3.03,0
20100102:2111,0,0,0,0,0,0.41,2.62,0
20100102:2211,0,0,0,0,0,0.07,1.31,0
20100102:2311,0,0,0,0,0,0.06,0.55,0
20100103:0011,0,0,0,0,0,-0.33,2.34,0
