Time	zen	dw_solar	Ics	McClear	G_nam
2015-01-01 00:00:00	85.723	60.178	50.645	35.419	NA
2015-01-01 01:00:00	94.665	0.775	0.034	0.112	NA
2015-01-01 02:00:00	105.941	0	0	0	NA
2015-01-01 03:00:00	117.636	0	0	0	NA
2015-01-01 04:00:00	129.599	0	0	0	NA
2015-01-01 05:00:00	141.576	0	0	0	NA
2015-01-01 06:00:00	153.104	0	0	0	NA
2015-01-01 07:00:00	162.713	0	0	0	NA
2015-01-01 08:00:00	165.652	0	0	0	NA
2015-01-01 09:00:00	159.117	0	0	0	NA
2015-01-01 10:00:00	148.372	0	0	0	NA
2015-01-01 11:00:00	136.565	0	0	0	NA
2015-01-01 12:00:00	124.554	0	0	0	NA
2015-01-01 13:00:00	112.672	0	0	0	NA
2015-01-01 14:00:00	101.15	0	0	0	NA
2015-01-01 15:00:00	90.047	9.443	13.043	13.204	NA
2015-01-01 16:00:00	80.142	136.128	147.646	154.627	NA
2015-01-01 17:00:00	71.553	307.877	314.248	330.048	NA
2015-01-01 18:00:00	64.862	447.6	447.015	468.044	NA
2015-01-01 19:00:00	60.758	533.623	526.607	550.897	NA
2015-01-01 20:00:00	59.781	558.083	545.2	570.957	NA
2015-01-01 21:00:00	62.084	511.263	501.138	526.622	NA
2015-01-01 22:00:00	67.325	404.525	398.435	420.528	NA
2015-01-01 23:00:00	74.877	251.342	248.262	265.135	NA
2015-01-02 00:00:00	84.018	79.632	79.463	84.532	NA
2015-01-02 01:00:00	94.52	0.643	0.057	0.182	NA
2015-01-02 02:00:00	105.805	0	0	0	NA
2015-01-02 03:00:00	117.5	0	0	0	NA
2015-01-02 04:00:00	129.465	0	0	0	NA
2015-01-02 05:00:00	141.44	0	0	0	NA
2015-01-02 06:00:00	152.966	0	0	0	NA
2015-01-02 07:00:00	162.585	0	0	0	NA
2015-01-02 08:00:00	165.589	0	0	0	NA
2015-01-02 09:00:00	159.13	0	0	0	NA
2015-01-02 10:00:00	148.415	0	0	0	NA
2015-01-02 11:00:00	136.616	0	0	0	NA
2015-01-02 12:00:00	124.605	0	0	0	NA
2015-01-02 13:00:00	112.718	0	0	0	NA
2015-01-02 14:00:00	101.188	0	0	0	NA
2015-01-02 15:00:00	90.072	11.205	12.906	10.922	NA
2015-01-02 16:00:00	80.152	136.863	147.488	136.352	NA
2015-01-02 17:00:00	71.542	303.95	314.49	304.134	NA
2015-01-02 18:00:00	64.826	441.728	447.76	439.396	NA
2015-01-02 19:00:00	60.692	527.258	527.88	521.195	NA
2015-01-02 20:00:00	59.688	550.803	546.984	541.038	NA
2015-01-02 21:00:00	61.969	507.513	503.37	497.2	NA
2015-01-02 22:00:00	67.196	402.203	401.001	394.101	NA
2015-01-02 23:00:00	74.741	249.502	250.951	243.404	NA
2015-01-03 00:00:00	83.883	80.413	81.749	74.868	NA
2015-01-03 01:00:00	94.385	0.683	0.089	0.235	NA
2015-01-03 02:00:00	105.665	0	0	0	NA
2015-01-03 03:00:00	117.362	0	0	0	NA
2015-01-03 04:00:00	129.327	0	0	0	NA
2015-01-03 05:00:00	141.301	0	0	0	NA
2015-01-03 06:00:00	152.826	0	0	0	NA
2015-01-03 07:00:00	162.452	0	0	0	NA
2015-01-03 08:00:00	165.517	0	0	0	NA
2015-01-03 09:00:00	159.137	0	0	0	NA
2015-01-03 10:00:00	148.452	0	0	0	NA
2015-01-03 11:00:00	136.663	0	0	0	NA
2015-01-03 12:00:00	124.653	0	0	0	NA
2015-01-03 13:00:00	112.759	0	0	0	NA
2015-01-03 14:00:00	101.22	0	0	0	NA
2015-01-03 15:00:00	90.091	10.865	12.806	11.774	NA
2015-01-03 16:00:00	80.156	136.017	147.441	143.85	NA
2015-01-03 17:00:00	71.523	302.343	314.865	313.355	NA
2015-01-03 18:00:00	64.782	438.438	448.646	447.887	NA
2015-01-03 19:00:00	60.618	524.968	529.299	529.202	NA
2015-01-03 20:00:00	59.588	530.29	548.91	548.922	NA
2015-01-03 21:00:00	61.847	507.098	505.732	505.275	NA
2015-01-03 22:00:00	67.061	401.473	403.687	402.578	NA
2015-01-03 23:00:00	74.6	249.423	253.745	251.597	NA
2015-01-04 00:00:00	83.744	81.292	84.131	79.803	NA
2015-01-04 01:00:00	94.234	0.813	0.134	0.324	NA
2015-01-04 02:00:00	105.523	0	0	0	NA
2015-01-04 03:00:00	117.22	0	0	0	NA
2015-01-04 04:00:00	129.185	0	0	0	NA
2015-01-04 05:00:00	141.16	0	0	0	NA
2015-01-04 06:00:00	152.683	0	0	0	NA
2015-01-04 07:00:00	162.312	0	0	0	NA
2015-01-04 08:00:00	165.437	0	0	0	NA
2015-01-04 09:00:00	159.136	0	0	0	NA
2015-01-04 10:00:00	148.483	0	0	0	NA
2015-01-04 11:00:00	136.704	0	0	0	NA
2015-01-04 12:00:00	124.693	0	0	0	NA
2015-01-04 13:00:00	112.796	0	0	0	NA
2015-01-04 14:00:00	101.247	0	0	0	NA
2015-01-04 15:00:00	90.105	10.123	12.744	11.326	NA
2015-01-04 16:00:00	80.153	136.028	147.507	141.278	NA
2015-01-04 17:00:00	71.498	299.095	315.375	311.031	NA
2015-01-04 18:00:00	64.731	411.995	449.674	446.469	NA
2015-01-04 19:00:00	60.537	427.557	530.856	528.557	NA
2015-01-04 20:00:00	59.48	241.697	550.97	548.94	NA
2015-01-04 21:00:00	61.719	188.887	508.225	505.764	NA
2015-01-04 22:00:00	66.921	211.088	406.49	403.054	NA
2015-01-04 23:00:00	74.453	102.187	256.645	252.186	NA
2015-01-05 00:00:00	83.601	34.208	86.608	80.811	NA
2015-01-05 01:00:00	94.079	1.132	0.194	0.425	NA
2015-01-05 02:00:00	105.377	0	0	0	NA
2015-01-05 03:00:00	117.076	0	0	0	NA
2015-01-05 04:00:00	129.041	0	0	0	NA
2015-01-05 05:00:00	141.015	0	0	0	NA
2015-01-05 06:00:00	152.535	0	0	0	NA
2015-01-05 07:00:00	162.167	0	0	0	NA
2015-01-05 08:00:00	165.349	0	0	0	NA
2015-01-05 09:00:00	159.127	0	0	0	NA
2015-01-05 10:00:00	148.51	0	0	0	NA
2015-01-05 11:00:00	136.74	0	0	0	NA
2015-01-05 12:00:00	124.728	0	0	0	NA
2015-01-05 13:00:00	112.827	0	0	0	NA
2015-01-05 14:00:00	101.269	0	0	0	NA
2015-01-05 15:00:00	90.112	11.383	12.721	11.073	NA
2015-01-05 16:00:00	80.143	144.512	147.687	140.045	NA
2015-01-05 17:00:00	71.466	249.792	316.021	310.011	NA
2015-01-05 18:00:00	64.672	411.152	450.843	446.005	NA
2015-01-05 19:00:00	60.45	499.915	532.556	528.612	NA
2015-01-05 20:00:00	59.364	465.067	553.168	549.813	NA
2015-01-05 21:00:00	61.583	447.525	510.844	507.932	NA
2015-01-05 22:00:00	66.774	369.938	409.408	407.055	NA
2015-01-05 23:00:00	74.302	187.768	259.642	257.785	NA
2015-01-06 00:00:00	83.453	81.347	89.176	85.518	NA
2015-01-06 01:00:00	93.921	0.802	0.273	0.576	NA
2015-01-06 02:00:00	105.228	0	0	0	NA
2015-01-06 03:00:00	116.93	0	0	0	NA
2015-01-06 04:00:00	128.897	0	0	0	NA
2015-01-06 05:00:00	140.869	0	0	0	NA
2015-01-06 06:00:00	152.385	0	0	0	NA
2015-01-06 07:00:00	162.016	0	0	0	NA
2015-01-06 08:00:00	165.253	0	0	0	NA
2015-01-06 09:00:00	159.112	0	0	0	NA
2015-01-06 10:00:00	148.529	0	0	0	NA
2015-01-06 11:00:00	136.77	0	0	0	NA
2015-01-06 12:00:00	124.76	0	0	0	NA
2015-01-06 13:00:00	112.852	0	0	0	NA
2015-01-06 14:00:00	101.285	0	0	0	NA
2015-01-06 15:00:00	90.115	10.15	12.736	11.282	NA
2015-01-06 16:00:00	80.129	133.408	147.982	141.4	NA
2015-01-06 17:00:00	71.465	316.802	316.802	311.145	NA
2015-01-06 18:00:00	64.637	452.154	452.154	446.835	NA
2015-01-06 19:00:00	60.38	534.396	534.396	529.77	NA
2015-01-06 20:00:00	59.267	555.498	555.498	551.637	NA
2015-01-06 21:00:00	61.469	513.589	513.589	510.43	NA
2015-01-06 22:00:00	66.657	412.44	412.44	409.672	NA
2015-01-06 23:00:00	74.164	259.052	262.739	260.282	NA
2015-01-07 00:00:00	83.3	89.217	91.837	87.474	NA
2015-01-07 01:00:00	93.761	0.942	0.375	0.721	NA
2015-01-07 02:00:00	105.077	0	0	0	NA
2015-01-07 03:00:00	116.781	0	0	0	NA
2015-01-07 04:00:00	128.748	0	0	0	NA
2015-01-07 05:00:00	140.72	0	0	0	NA
2015-01-07 06:00:00	152.23	0	0	0	NA
2015-01-07 07:00:00	161.862	0	0	0	NA
2015-01-07 08:00:00	165.148	0	0	0	NA
