,Baseline RMSE,Target RMSE,Transfer RMSE,Target epoch,Transfer epoch
0m,0.17294879257678986,0.3460141122341156,0.14367027580738068,0,0
1m,0.17294879257678986,0.15267354249954224,0.1422121822834015,29,209
2m,0.17294879257678986,0.2739455997943878,0.14108146727085114,326,275
3m,0.17294879257678986,0.42422720789909363,0.13902050256729126,398,399
4m,0.17294879257678986,0.16845928132534027,0.13743306696414948,23,399
5m,0.17294879257678986,0.15285678207874298,0.13515605032444,97,399
6m,0.17294879257678986,0.17716239392757416,0.13417299091815948,37,375
7m,0.17294879257678986,0.15057186782360077,0.13497662544250488,352,186
8m,0.17294879257678986,0.1576109528541565,0.1346810758113861,5,181
9m,0.17294879257678986,0.1426476687192917,0.1324070394039154,224,399
10m,0.17294879257678986,0.1538415104150772,0.1328849494457245,3,399
11m,0.17294879257678986,0.13275739550590515,0.13300973176956177,134,399
12m,0.17294879257678986,0.13452912867069244,0.13297991454601288,45,103
