id;Watt Peak;Azimuth;Orientation;Tilt;ZIP_NL;Plaats;Latitude;Longitude
1183SB10;2480;113;-67;35;1183;Amstelveen;52.30864;4.88959
1183RW15;2480;202;22;35;1183;Amstelveen;52.30864;4.88959
1185PS233;1240;180;0;13;1185;Amstelveen;52.29065;4.85156
1791AW12;1240;90;-90;10;1791;Den Burg;53.05392;4.79605
1791AW12B;1240;90;-90;10;1791;Den Burg;53.05392;4.79605
2645JE56;2170;160;-20;25;2645;Delfgauw;52.00861;4.39657
2678WH10;2440;248;68;45;2678;De Lier;51.9779;4.25496
2678WG17;2440;115;-65;45;2678;De Lier;51.9779;4.25496
2678WH4;2440;248;68;45;2678;De Lier;51.9779;4.25496
2993AM21;2790;190;10;37;2993;Barendrecht;51.85103;4.49973
2993AP7;2790;191;11;37;2993;Barendrecht;51.85103;4.49973
3343EH47;2480;226;46;39;3343;Hendrik-Ido-Ambacht;51.83669;4.63206
3343EH67;2480;203;23;39;3343;Hendrik-Ido-Ambacht;51.83669;4.63206
3437BD60;3100;185;5;33;3437;Nieuwegein;52.0499;5.07391
3551XT40;1860;220;40;50;3551;Utrecht;52.10132;5.0993
3705PN116;1860;161;-19;30;3705;Zeist;52.10016;5.23966
3994TC15;2400;171;-9;36;3994;Houten;52.02447;5.18173
4131AE11;2480;132;-48;30;4131;Vianen;51.99029;5.1021
4131CC21;2480;195;15;30;4131;Vianen;51.99029;5.1021
4251BW7;1860;95;-85;30;4251;Werkendam;51.80901;4.89497
4891XX2;2400;214;34;35;4891;Rijsbergen;51.51827;4.69425
4901BG39;2400;270;90;30;4901;Oosterhout;51.6459;4.86449
4901BJ43;2400;270;90;30;4901;Oosterhout;51.6459;4.86449
6582BA25;2480;97;-83;30;6582;Heumen;51.76411;5.84502
6582EA5;2480;169;-11;36;6582;Heumen;51.76411;5.84502
6611AL10;2480;192;12;29;6611;Overasselt;51.76;5.78596
6611AL2;2480;192;12;29;6611;Overasselt;51.76;5.78596
6611AL14;2480;191;11;29;6611;Overasselt;51.76;5.78596
6721DC105;1860;104;-76;30;6721;Bennekom;51.99939;5.67624
7413BS19;1525;102;-78;44;7413;Deventer;52.26336;6.15409
7416WL34;1550;133;-47;50;7416;Deventer;52.25974;6.17578
7417AN1;2790;159;-21;39;7417;Deventer;52.25573;6.17654
7417AN27;2480;159;-21;39;7417;Deventer;52.25573;6.17654
7417AA38;2480;159;-21;45;7417;Deventer;52.25573;6.17654
7419AT32;1860;160;-20;33;7419;Deventer;52.24967;6.14342
8107AH7;2520;197;17;35;8107;Broekland;52.36155;6.20134
8431CG90;2480;173;-7;34;8431;Oosterwolde;52.99006;6.29023
8431CE56;3100;173;-7;36;8431;Oosterwolde;52.99006;6.29023
8447BV103;1860;191;11;13;8447;Heerenveen;52.96298;5.90586
8715JG9;2790;256;76;30;8715;Stavoren;52.88303;5.36294
8715JG7;2790;257;77;30;8715;Stavoren;52.88303;5.36294
8723AX56;2480;224;44;33;8723;Koudum;52.91492;5.44995
9051GE20;1550;240;60;32;9051;Stiens;53.26477;5.7547
9201VG42;2480;174;-6;29;9201;Drachten;53.1124;6.09045
9203ER25;2520;179;-1;28;9203;Drachten;53.1062;6.09774
9254JK26;1860;180;0;33;9254;Hurdegaryp;53.21494;5.94195
9257VV32;3100;165;-15;30;9257;Noardburgum;53.22557;6.00491
9258CZ14;2480;165;-15;43;9258;Jistrum;53.21207;6.06578
9761LT22;3050;256;76;32;9761;Eelde;53.13357;6.56668
9851BB13;1860;130;-50;30;9851;Burum;53.27363;6.22902
