,Baseline RMSE,Target RMSE,Transfer RMSE,Target epoch,Transfer epoch
0m,0.17294879257678986,0.33306577801704407,0.1380361020565033,0,0
1m,0.17294879257678986,0.15401828289031982,0.1357365995645523,45,199
2m,0.17294879257678986,0.15607519447803497,0.1342635154724121,157,199
3m,0.17294879257678986,0.17278847098350525,0.1321423202753067,150,199
4m,0.17294879257678986,0.1602950245141983,0.1314653903245926,195,199
5m,0.17294879257678986,0.1691342145204544,0.12989313900470734,85,199
6m,0.17294879257678986,0.18154269456863403,0.12920671701431274,12,199
7m,0.17294879257678986,0.16377824544906616,0.1292893886566162,102,199
8m,0.17294879257678986,0.14174070954322815,0.12983618676662445,177,79
9m,0.17294879257678986,0.13313888013362885,0.12922878563404083,199,199
10m,0.17294879257678986,0.14612659811973572,0.12935560941696167,7,199
11m,0.17294879257678986,0.13738228380680084,0.1299995630979538,110,199
12m,0.17294879257678986,0.13228711485862732,0.13213421404361725,91,33
