,Baseline RMSE,Target RMSE,Transfer RMSE,Target epoch,Transfer epoch
0m,0.17293402552604675,0.33885130286216736,0.14417524635791779,0,0
1m,0.17293402552604675,0.18723516166210175,0.14543253183364868,49,199
2m,0.17293402552604675,0.20212501287460327,0.14361101388931274,99,199
3m,0.17293402552604675,0.15674033761024475,0.14231698215007782,13,81
4m,0.17293402552604675,0.15911142528057098,0.14411255717277527,109,199
5m,0.17293402552604675,0.15057818591594696,0.14259958267211914,5,199
6m,0.17293402552604675,0.15021377801895142,0.14429350197315216,196,199
7m,0.17293402552604675,0.15065473318099976,0.14543725550174713,187,198
8m,0.17293402552604675,0.14734090864658356,0.14481496810913086,179,199
9m,0.17293402552604675,0.1485617607831955,0.14617519080638885,198,199
10m,0.17293402552604675,0.14559970796108246,0.14380598068237305,181,199
11m,0.17293402552604675,0.14450043439865112,0.1438509225845337,195,199
12m,0.17293402552604675,0.14431092143058777,0.14466020464897156,177,168
